foodCode,foodName,alias,category,energyKCal,protein,fat,carbohydrate,dietaryFiber,standardName,searchKeywords,primaryCategory,secondaryCategory,originalCategory,nutritionBasis,basisAmount,basisUnit,defaultServingAmount,defaultServingUnit,defaultServingGram,foodState,cookingMethod,brand,sourceName,sourceType,sourceVersion,sourceQueryDate,dataConfidence,isEstimated,isCompositeFood,isActive,canonicalFoodCode,reviewStatus,reviewNote,energyRepairMethod,originalEnergyKCal,qualityFlags
EXT0001,炼乳（甜，罐头）,炼乳，甜炼乳，炼奶,乳类及其制品-其他,332.0,8.0,8.7,55.4,0.0,炼乳（甜，罐头）,炼乳（甜，罐头），炼乳，甜炼乳，炼奶,奶及乳制品,液态乳及其他乳制品,乳类及其制品-其他,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0001,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,332,
EXT0002,奶皮子,奶皮，乳皮,乳类及其制品-其他,460.0,12.2,42.9,6.3,0.0,奶皮子,奶皮子，奶皮，乳皮,奶及乳制品,液态乳及其他乳制品,乳类及其制品-其他,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0002,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,460,
EXT0003,奶片,奶片糖，奶贝，牛奶片,乳类及其制品-其他,472.0,13.3,20.2,59.3,0.0,奶片,奶片，奶片糖，奶贝，牛奶片,奶及乳制品,液态乳及其他乳制品,乳类及其制品-其他,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0003,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,472,
EXT0004,全脂甜炼乳（雀巢）,雀巢炼乳，鹰唛炼奶，甜炼乳,乳类及其制品-其他,380.0,7.5,10.0,64.9,0.0,全脂甜炼乳（雀巢）,全脂甜炼乳（雀巢），雀巢炼乳，鹰唛炼奶，甜炼乳,奶及乳制品,液态乳及其他乳制品,乳类及其制品-其他,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0004,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,380,
EXT0005,全脂甜炼乳（燕山牌）,,乳类及其制品-其他,374.0,8.2,10.0,62.8,0.0,全脂甜炼乳（燕山牌）,全脂甜炼乳（燕山牌）,奶及乳制品,液态乳及其他乳制品,乳类及其制品-其他,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0005,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,374,
EXT0006,脱脂甜炼乳,,乳类及其制品-其他,275.0,10.3,0.2,58.0,0.0,脱脂甜炼乳,脱脂甜炼乳,奶及乳制品,液态乳及其他乳制品,乳类及其制品-其他,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0006,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,275,
EXT0007,蛋白粉（益力健乳铁乳清蛋白粉）,,乳类及其制品-其他,425.0,50.0,12.5,28.0,0.0,蛋白粉（益力健乳铁乳清蛋白粉）,蛋白粉（益力健乳铁乳清蛋白粉）,运动营养,其他,乳类及其制品-其他,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0007,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,425,
EXT0008,牛初乳奶片（纽瑞滋牛初乳咀嚼奶片）,奶片糖，奶贝，牛奶片,乳类及其制品-其他,347.0,27.0,4.5,49.5,0.0,牛初乳奶片（纽瑞滋牛初乳咀嚼奶片）,牛初乳奶片（纽瑞滋牛初乳咀嚼奶片），奶片糖，奶贝，牛奶片,奶及乳制品,液态乳及其他乳制品,乳类及其制品-其他,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0008,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,347,
EXT0009,奶渣,,乳类及其制品-其他,381.0,44.4,4.2,41.3,0.0,奶渣,奶渣,奶及乳制品,液态乳及其他乳制品,乳类及其制品-其他,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,中,否,否,是,EXT0009,待来源追溯,原始数据保留；新增结构字段为规则化整理结果。,,381,
EXT0010,奶油,黄油，白脱，乳脂，淡奶油,乳类及其制品-奶油,879.0,0.7,97.0,0.9,0.0,奶油,奶油，黄油，白脱，乳脂，淡奶油,油脂,动物油及其他油脂,乳类及其制品-奶油,100g,100,g,,,,未明确,,,原始数据库（来源待追溯）,原始导入,未提供,2026-06-25,低,否,否,否,EXT0010,同名冲突待核验,原始数据保留；新增结构字段为规则化整理结果。,,879,
